,ID,Tweet Time,Convo ID,Likes Count,Retweets Count,Tweets,Tweets(rendered),in_reply_to_tweet_id,in_reply_to,User,User Location,Followers Count,Followings Count,Likes Count,Tweets Count
30,1249929353170784256,2020-04-14 05:15:55+00:00,1249929353170784256,421,31,"Apalagi nie Barisan Sakit Hati👺Kadrun menggosipkan dgn Keji Pak LBP sesak nafas dilarikan ke RS terlihat jelas Pak Luhut Binsar Pandjaitan ibarat Pohon, semakin Tinggi Pohon semakin kencang Angin bertiup diatasnya hati2 Aku takut yg memfitnah yg sebentar lagi KO MERDEKA🇮🇩👍.","Apalagi nie Barisan Sakit Hati👺Kadrun menggosipkan dgn Keji Pak LBP sesak nafas dilarikan ke RS terlihat jelas Pak Luhut Binsar Pandjaitan ibarat Pohon, semakin Tinggi Pohon semakin kencang Angin bertiup diatasnya hati2 Aku takut yg memfitnah yg sebentar lagi KO MERDEKA🇮🇩👍.",,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
31,1249890457074556928,2020-04-14 02:41:21+00:00,1249890457074556928,600,56,"Mengenai COVID-19 Tuhan🙏sayang Kita Umatnya, Tuhan tdk mau Kita Umatnya berlama lama menderita krn Virus Corona marilah Kita terusssssssss Berdo’a apapun Agama ❤️Kepercayaan yg Kita pegang &amp; mematuhi semua arahan/aturan Pemerintahan Pak Joko Widodo Tuhan Memberkati MERDEKA🇮🇩👍.","Mengenai COVID-19 Tuhan🙏sayang Kita Umatnya, Tuhan tdk mau Kita Umatnya berlama lama menderita krn Virus Corona marilah Kita terusssssssss Berdo’a apapun Agama ❤️Kepercayaan yg Kita pegang &amp; mematuhi semua arahan/aturan Pemerintahan Pak Joko Widodo Tuhan Memberkati MERDEKA🇮🇩👍.",,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
32,1249873919441375232,2020-04-14 01:35:38+00:00,1249873919441375232,26,3,@budimandjatmiko Siapa lagi ya pasti Barisan Sakit Hati 👺Kadrun ha ha ha ka’cian deh MERDEKA🇮🇩👍.,@budimandjatmiko Siapa lagi ya pasti Barisan Sakit Hati 👺Kadrun ha ha ha ka’cian deh MERDEKA🇮🇩👍.,,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
33,1249871454193123328,2020-04-14 01:25:50+00:00,1249871454193123328,1,0,"@panca66 Kapan Pak SBY memperingatkan Pak Luhut jgn mentang2, hubungan mereka baik bahkan Pak SBY pernah minta tolong melalui HP Sekjen PD dipertemukan sama Pak Joko Widodo Presiden RI begitu juga AHY semua dibantu Pak LBP ha ha ha Aku tertawa termehek mehek kau sok ta’u MERDEKA","@panca66 Kapan Pak SBY memperingatkan Pak Luhut jgn mentang2, hubungan mereka baik bahkan Pak SBY pernah minta tolong melalui HP Sekjen PD dipertemukan sama Pak Joko Widodo Presiden RI begitu juga AHY semua dibantu Pak LBP ha ha ha Aku tertawa termehek mehek kau sok ta’u MERDEKA",,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
34,1249550452359757824,2020-04-13 04:10:18+00:00,1249550452359757824,1,1,"@212ThePowerOff1 Haleluya Puji Tuhan Yesus, apapun bacotMu Aku tidak pernah gentar karena ada Tuhan yang menjagaKu yang akan mengirim Polisi 🇮🇩TNI kau jual Aku beli Shalom.","@212ThePowerOff1 Haleluya Puji Tuhan Yesus, apapun bacotMu Aku tidak pernah gentar karena ada Tuhan yang menjagaKu yang akan mengirim Polisi 🇮🇩TNI kau jual Aku beli Shalom.",,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
35,1249525960770117632,2020-04-13 02:32:58+00:00,1249525960770117632,0,0,@mas__piyuuu Silahkan Sip deh.,@mas__piyuuu Silahkan Sip deh.,,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
36,1249524968645259265,2020-04-13 02:29:02+00:00,1249524968645259265,8,1,@htmnparis Ha ha ha Aku dikejar kejar Uang ha ha ha Selamat Paska Puji Tuhan Sukses terusssssssss Mauliate Shalom.,@htmnparis Ha ha ha Aku dikejar kejar Uang ha ha ha Selamat Paska Puji Tuhan Sukses terusssssssss Mauliate Shalom.,,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
37,1249507636954845184,2020-04-13 01:20:10+00:00,1249507636954845184,0,0,"@sayasam_bro Aku ingatkan siapapun dia biar ngaca diri, Haleluya Puji Tuhan Shalom.","@sayasam_bro Aku ingatkan siapapun dia biar ngaca diri, Haleluya Puji Tuhan Shalom.",,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
38,1249504332979916800,2020-04-13 01:07:02+00:00,1249504332979916800,0,0,@__Effendi__ Sayang kau bukan Pak Jokowi ka’cian deh.,@__Effendi__ Sayang kau bukan Pak Jokowi ka’cian deh.,,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
39,1249503946592247809,2020-04-13 01:05:30+00:00,1249503946592247809,4,0,"@__Effendi__ nggak salah nie Kelas Berat diadu dgn Kelas Ringan, Negara ini ada aturannya Indonesia Negara Hukum jadi sesuai aturan dan selevel Anies diadu dgn Ahok itu baru Sip deh, tapi jgn lagi Sara ujaran kebencian fitnah juga teror baru cocok banget gitu kok repot MERDEKA.","@__Effendi__ nggak salah nie Kelas Berat diadu dgn Kelas Ringan, Negara ini ada aturannya Indonesia Negara Hukum jadi sesuai aturan dan selevel Anies diadu dgn Ahok itu baru Sip deh, tapi jgn lagi Sara ujaran kebencian fitnah juga teror baru cocok banget gitu kok repot MERDEKA.",,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
